UnitID,Institution Name,Institution (entity) name,Institution name alias,Street address or post office box,City location of institution,State abbreviation,ZIP code,Institution's internet website address,Admissions office web address,Online application web address,Level of institution,Control of institution,Degree-granting status,Undergraduate offering,Graduate offering,Degree of urbanization (Urban-centric locale),Distance education courses offered,Distance education programs offered,Undergraduate application fee,Graduate application fee,4-year Graduation rate - bachelor's degree within 100% of normal time,Recommendations,Admission test scores,TOEFL (Test of English as a Foreign Language ),Applicants total,Admissions total,Enrolled total,SAT Evidence-Based Reading and Writing 25th percentile score,SAT Evidence-Based Reading and Writing 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,ACT English 25th percentile score,ACT English 75th percentile score,ACT Math 25th percentile score,ACT Math 75th percentile score,Published in-state tuition and fees 2020-21,Published out-of-state tuition and fees 2020-21,Published out-of-state tuition 2020-21,Published out-of-state fees 2020-21,Published in-state tuition 2020-21,Published in-state fees 2020-21,rank_display,cityData_Fetcch,city_id
166683,Massachusetts Institute of Technology,Massachusetts Institute of Technology,MIT  M.I.T.,77 Massachusetts Avenue,Cambridge,MA,02139-4307,web.mit.edu/,https://mitadmissions.org/,my.mit.edu/,1,2,1,1,1,12,1.0,0.0,75.0,75.0,85.0,1.0,1.0,2.0,20075.0,1457.0,1070.0,730.0,780.0,780.0,800.0,34.0,36.0,35.0,36.0,34.0,36.0,53450.0,53450.0,53450.0,0.0,53450.0,0.0,1,"Cambridge, MA",10377
243744,Stanford University,Stanford University,,,Stanford,CA,94305,www.stanford.edu/,admission.stanford.edu/,commonapp.org/,1,2,1,1,1,21,1.0,1.0,90.0,125.0,75.0,1.0,1.0,2.0,45227.0,2349.0,1606.0,700.0,770.0,720.0,800.0,31.0,35.0,33.0,36.0,30.0,35.0,56169.0,56169.0,55473.0,696.0,55473.0,696.0,3,"Stanford, CA",8279
166027,Harvard University,Harvard University,,Massachusetts Hall,Cambridge,MA,2138,www.harvard.edu/,college.harvard.edu/admissions,college.harvard.edu/admissions/application-process/application-requirements,1,2,1,1,1,12,1.0,1.0,75.0,105.0,87.0,1.0,1.0,3.0,40248.0,2015.0,1407.0,720.0,780.0,740.0,800.0,33.0,35.0,35.0,36.0,31.0,35.0,54002.0,54002.0,49653.0,4349.0,49653.0,4349.0,5,"Cambridge, MA",10377
110404,California Institute of Technology,California Institute of Technology,Caltech,1200 E California Blvd,Pasadena,CA,91125,www.caltech.edu/,www.admissions.caltech.edu/,www.admissions.caltech.edu/apply,1,2,1,1,1,12,0.0,0.0,75.0,100.0,81.0,1.0,1.0,1.0,8007.0,536.0,225.0,740.0,780.0,790.0,800.0,35.0,36.0,35.0,36.0,35.0,36.0,56862.0,56862.0,54570.0,2292.0,54570.0,2292.0,6,"Pasadena, CA",12291
144050,University of Chicago,University of Chicago,,5801 S Ellis Ave,Chicago,IL,60637,www.uchicago.edu/,collegeadmissions.uchicago.edu/,https://collegeadmissions.uchicago.edu/apply/,1,2,1,1,1,11,1.0,0.0,75.0,90.0,89.0,1.0,5.0,1.0,34350.0,2510.0,1847.0,730.0,770.0,770.0,800.0,34.0,35.0,35.0,36.0,31.0,35.0,60552.0,60552.0,57642.0,2910.0,57642.0,2910.0,10,"Chicago, IL",3405
215062,University of Pennsylvania,University of Pennsylvania,Penn  U of PA  U-Penn  U of P  Pennsylvania  UPenn  Pennsylvania University  University of Pennsylvania  Wharton  Wharton School of Business,34th & Spruce Street,Philadelphia,PA,19104-6303,www.upenn.edu/,www.upenn.edu/admissions/,www.admissions.upenn.edu/apply/,1,2,1,1,1,11,1.0,1.0,75.0,80.0,85.0,1.0,1.0,2.0,42205.0,3789.0,2321.0,710.0,770.0,750.0,800.0,33.0,35.0,34.0,36.0,31.0,35.0,60042.0,60042.0,53166.0,6876.0,53166.0,6876.0,13,"Philadelphia, PA",3465
130794,Yale University,Yale University,,Woodbridge Hall,New Haven,CT,6520,https://www.yale.edu/,https://admissions.yale.edu/,https://admissions.yale.edu/first-year-application-process,1,2,1,1,1,12,1.0,0.0,80.0,105.0,88.0,1.0,5.0,1.0,35220.0,2299.0,1264.0,720.0,780.0,740.0,800.0,33.0,35.0,34.0,36.0,31.0,35.0,57700.0,57700.0,57700.0,0.0,57700.0,0.0,14,"New Haven, CT",7973
186131,Princeton University,Princeton University,,1 Nassau Hall,Princeton,NJ,08544-0070,www.princeton.edu/,,,1,2,1,1,1,13,0.0,0.0,70.0,95.0,87.0,1.0,1.0,1.0,32835.0,1848.0,1154.0,710.0,770.0,740.0,800.0,32.0,35.0,34.0,36.0,31.0,35.0,48502.0,48502.0,48502.0,0.0,48502.0,0.0,20,"Princeton, NJ",7971
190415,Cornell University,Cornell University,,300 Day Hall,Ithaca,NY,14853,www.cornell.edu/,https://admissions.cornell.edu/,https://www.commonapp.org/,1,2,1,1,1,13,1.0,1.0,80.0,105.0,88.0,1.0,5.0,1.0,51500.0,5514.0,3249.0,680.0,750.0,720.0,790.0,32.0,35.0,34.0,35.0,30.0,35.0,59282.0,59282.0,58586.0,696.0,58586.0,696.0,21,"Ithaca, NY",9872
170976,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor,503 Thompson Street,Ann Arbor,MI,48109,https://umich.edu/,https://admissions.umich.edu/,https://admissions.umich.edu/apply,1,1,1,1,1,12,1.0,1.0,75.0,75.0,79.0,1.0,5.0,1.0,65021.0,16974.0,6879.0,660.0,740.0,680.0,780.0,31.0,34.0,32.0,35.0,29.0,34.0,15948.0,52266.0,51838.0,428.0,15520.0,428.0,23,"Ann Arbor, MI",7859
162928,Johns Hopkins University,Johns Hopkins University,Johns Hopkins,3400 N Charles St,Baltimore,MD,21218-2688,www.jhu.edu/,https://apply.jhu.edu/,https://apply.commonapp.org/,1,2,1,1,1,11,1.0,1.0,70.0,75.0,87.0,1.0,1.0,1.0,30115.0,3330.0,1405.0,720.0,760.0,750.0,800.0,34.0,36.0,34.0,36.0,32.0,35.0,54160.0,54160.0,54160.0,0.0,54160.0,0.0,25,"Baltimore, MD",3396
147767,Northwestern University,Northwestern University,,633 Clark St,Evanston,IL,60208,www.northwestern.edu/,www.northwestern.edu/admissions/,www.northwestern.edu/admissions/,1,2,1,1,1,13,1.0,1.0,75.0,95.0,84.0,1.0,1.0,1.0,39263.0,3654.0,1901.0,700.0,760.0,730.0,790.0,33.0,35.0,34.0,36.0,31.0,35.0,58701.0,58701.0,58227.0,474.0,58227.0,474.0,30,"Evanston, IL",33606
110635,University of California-Berkeley,University of California-Berkeley,UC Berkeley,200 California Hall,Berkeley,CA,94720,www.berkeley.edu/,admissions.berkeley.edu/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,12,1.0,1.0,70.0,120.0,74.0,5.0,1.0,1.0,88062.0,15390.0,6117.0,650.0,740.0,660.0,790.0,30.0,35.0,27.0,35.0,27.0,34.0,14312.0,44066.0,41196.0,2870.0,11442.0,2870.0,32,"Berkeley, CA",9798
110662,University of California-Los Angeles,University of California-Los Angeles,UCLA,405 Hilgard Ave,Los Angeles,CA,90095-1405,www.ucla.edu/,www.admissions.ucla.edu/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,11,1.0,1.0,70.0,120.0,77.0,3.0,3.0,2.0,108870.0,15602.0,6386.0,,,,,,,,,,,13249.0,43003.0,41196.0,1807.0,11442.0,1807.0,40,"Los Angeles, CA",3442
193900,New York University,New York University,,70 Washington Sq South,New York,NY,10012-1091,www.nyu.edu/,www.nyu.edu/admissions.html,www.nyu.edu/admissions/undergraduate-admissions/apply.html,1,2,1,1,1,11,1.0,1.0,80.0,110.0,76.0,1.0,5.0,5.0,80210.0,16918.0,6701.0,670.0,740.0,700.0,800.0,31.0,34.0,,,,,54880.0,54880.0,52204.0,2676.0,52204.0,2676.0,42,"New York, NY",3455
110680,University of California-San Diego,University of California-San Diego,UCSD  UC San Diego,9500 Gilman Dr,La Jolla,CA,92093,www.ucsd.edu/,admissions.ucsd.edu/index.html,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,11,1.0,0.0,70.0,105.0,62.0,3.0,1.0,1.0,100062.0,36634.0,6447.0,620.0,710.0,650.0,770.0,28.0,34.0,26.0,35.0,27.0,33.0,14648.0,44402.0,41196.0,3206.0,11442.0,3206.0,48,"La Jolla, CA",
198419,Duke University,Duke University,,103 Allen Bldg,Durham,NC,27708,www.duke.edu/,www.admissions.duke.edu/,admissions.duke.edu/application/instructions,1,2,1,1,1,11,1.0,1.0,85.0,95.0,87.0,1.0,1.0,2.0,39639.0,3068.0,1580.0,720.0,770.0,750.0,800.0,34.0,35.0,35.0,36.0,32.0,35.0,57633.0,57633.0,55880.0,1753.0,55880.0,1753.0,52,"Durham, NC",3415
211440,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon; CMU,5000 Forbes Avenue,Pittsburgh,PA,15213-3890,www.cmu.edu/,admission.enrollment.cmu.edu/,admission.enrollment.cmu.edu/pages/apply-now,1,2,1,1,1,11,1.0,1.0,75.0,75.0,75.0,1.0,5.0,1.0,26189.0,4524.0,1637.0,700.0,760.0,760.0,800.0,33.0,35.0,33.0,36.0,33.0,35.0,58810.0,58810.0,57560.0,1250.0,57560.0,1250.0,53,"Pittsburgh, PA",3467
217156,Brown University,Brown University,,One Prospect Street,Providence,RI,2912,www.brown.edu/,https://www.brown.edu/admission,https://www.commonapp.org/,1,2,1,1,1,12,1.0,0.0,75.0,75.0,85.0,1.0,5.0,2.0,36793.0,2822.0,1756.0,710.0,770.0,730.0,790.0,33.0,35.0,34.0,36.0,30.0,35.0,60696.0,60696.0,59254.0,1442.0,59254.0,1442.0,60,"Providence, RI",8406
228778,The University of Texas at Austin,The University of Texas at Austin,UT Austin,110 Inner Campus Drive,Austin,TX,78705,https://www.utexas.edu/,https://www.admissions.utexas.edu/,https://www.utexas.edu/apply,1,1,1,1,1,11,1.0,1.0,75.0,65.0,61.0,5.0,1.0,1.0,57241.0,18290.0,8459.0,610.0,720.0,600.0,750.0,26.0,33.0,25.0,35.0,25.0,32.0,11448.0,40032.0,40032.0,0.0,11448.0,0.0,67,"Austin, TX",3393
240444,University of Wisconsin-Madison,University of Wisconsin-Madison,,500 Lincoln Dr,Madison,WI,53706-1380,www.wisc.edu/,https://www.admissions.wisc.edu/,https://www.commonapp.org/,1,1,1,1,1,11,1.0,1.0,60.0,75.0,61.0,1.0,5.0,1.0,45915.0,26286.0,7306.0,610.0,690.0,650.0,770.0,27.0,32.0,25.0,33.0,26.0,31.0,10742.0,38630.0,37161.0,1469.0,9273.0,1469.0,75,"Madison, WI",3445
145637,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU,601 E John Street,Champaign,IL,61820-5711,www.illinois.edu/,illinois.edu/admissions,admissions.illinois.edu/apply,1,1,1,1,1,13,1.0,1.0,50.0,70.0,70.0,3.0,1.0,1.0,43473.0,27520.0,7529.0,590.0,690.0,610.0,770.0,27.0,33.0,26.0,34.0,26.0,33.0,15150.0,32600.0,29704.0,2896.0,12254.0,2896.0,82,"Champaign, IL",12382
236948,University of Washington-Seattle Campus,University of Washington-Seattle Campus,UW-Seattle  UDub  UW  Washington,1400 NE Campus Parkway,Seattle,WA,98195-4550,www.washington.edu/,admit.washington.edu/admission/,admit.washington.edu/admission/,1,1,1,1,1,11,1.0,1.0,80.0,85.0,66.0,3.0,1.0,1.0,43778.0,24456.0,7027.0,590.0,700.0,610.0,753.0,27.0,33.0,26.0,35.0,26.0,32.0,11745.0,39114.0,37998.0,1116.0,10629.0,1116.0,85,"Seattle, WA",3487
139755,Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus,Georgia Tech,225 North Ave,Atlanta,GA,30332-0530,www.gatech.edu/,www.admission.gatech.edu/,www.admission.gatech.edu/apply/,1,1,1,1,1,11,1.0,1.0,75.0,75.0,40.0,5.0,1.0,2.0,40852.0,8719.0,3260.0,670.0,740.0,700.0,790.0,31.0,35.0,31.0,35.0,29.0,35.0,12852.0,33964.0,31370.0,2594.0,10258.0,2594.0,88,"Atlanta, GA",3391
227757,Rice University,Rice University,,6100 S Main St,Houston,TX,77005-1827,www.rice.edu/,futureowls.rice.edu/home.aspx,futureowls.rice.edu/futureowls/Apply.asp,1,2,1,1,1,11,1.0,1.0,75.0,85.0,86.0,1.0,5.0,1.0,23455.0,2555.0,993.0,710.0,770.0,750.0,800.0,34.0,36.0,34.0,36.0,32.0,35.0,51107.0,51107.0,50310.0,797.0,50310.0,797.0,94,"Houston, TX",3428
495767,The Pennsylvania State University,The Pennsylvania State University,Penn State,201 Old Main,University Park,PA,16802-1503,https://www.psu.edu/,https://admissions.psu.edu/,https://admissions.psu.edu/apply/,1,1,1,1,1,13,1.0,1.0,65.0,65.0,52.0,3.0,1.0,1.0,95321.0,74604.0,15614.0,530.0,640.0,540.0,660.0,24.0,29.0,23.0,30.0,23.0,29.0,18450.0,35514.0,34984.0,530.0,17920.0,530.0,96,"University Park, PA",
199120,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,103 South Bldg Cb 9100,Chapel Hill,NC,27599,www.unc.edu/,www.admissions.unc.edu/,www.admissions.unc.edu/Apply,1,1,1,1,1,13,1.0,1.0,85.0,95.0,82.0,1.0,1.0,1.0,41773.0,10445.0,4445.0,640.0,730.0,640.0,760.0,28.0,33.0,28.0,35.0,26.0,32.0,8980.0,36159.0,34198.0,1961.0,7019.0,1961.0,100,"Chapel Hill, NC",9801
179867,Washington University in St Louis,Washington University in St Louis,WashU,One Brookings Drive,Saint Louis,MO,63130-4899,www.wustl.edu/,admissions.wustl.edu/,admissions.wustl.edu/,1,2,1,1,1,21,1.0,1.0,75.0,45.0,88.0,1.0,5.0,5.0,27949.0,4477.0,1804.0,720.0,760.0,760.0,800.0,33.0,35.0,34.0,35.0,30.0,35.0,57386.0,57386.0,56300.0,1086.0,56300.0,1086.0,107,"Saint Louis, MO",3476
110644,University of California-Davis,University of California-Davis,UC Davis,One Shields Avenue,Davis,CA,95616-8678,ucdavis.edu/,ucdavis.edu/admissions/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,23,1.0,1.0,70.0,120.0,61.0,3.0,1.0,1.0,76897.0,35645.0,6144.0,570.0,670.0,590.0,730.0,25.0,33.0,23.0,32.0,23.0,29.0,14597.0,44351.0,41196.0,3155.0,11442.0,3155.0,108,"Davis, CA",12418
123961,University of Southern California,University of Southern California,USC,University Park,Los Angeles,CA,90089,www.usc.edu/,www.usc.edu/admission/,https://www.commonapp.org/,1,2,1,1,1,11,1.0,1.0,85.0,90.0,77.0,1.0,1.0,1.0,59712.0,9618.0,3460.0,660.0,740.0,680.0,790.0,30.0,34.0,32.0,35.0,28.0,34.0,60275.0,60275.0,59260.0,1015.0,59260.0,1015.0,112,"Los Angeles, CA",3442
164988,Boston University,Boston University,BU|Boston U,One Silber Way,Boston,MA,2215,www.bu.edu/,www.bu.edu/admissions,www.bu.edu/admissions/apply,1,2,1,1,1,11,1.0,1.0,80.0,95.0,84.0,1.0,1.0,1.0,61007.0,12254.0,2914.0,640.0,720.0,670.0,780.0,30.0,34.0,30.0,35.0,27.0,33.0,58072.0,58072.0,56854.0,1218.0,56854.0,1218.0,112,"Boston, MA",3400
243780,Purdue University-Main Campus,Purdue University-Main Campus,Purdue-West Lafayette|Purdue|PU|Purdue-WL,Hovde Hall of Administration,West Lafayette,IN,47907-2040,https://www.purdue.edu/,https://www.purdue.edu/purdue/admissions/,https://www.admissions.purdue.edu/apply/apply.php,1,1,1,1,1,13,1.0,1.0,60.0,60.0,55.0,1.0,1.0,3.0,57510.0,38619.0,8982.0,580.0,680.0,590.0,740.0,25.0,33.0,24.0,34.0,26.0,33.0,9992.0,28794.0,28010.0,784.0,9208.0,784.0,116,"West Lafayette, IN",34082
204796,Ohio State University-Main Campus,Ohio State University-Main Campus,,190 N. Oval Mall,Columbus,OH,43210,www.osu.edu/,undergrad.osu.edu/,undergrad.osu.edu/apply,1,1,1,1,1,11,1.0,1.0,60.0,60.0,59.0,5.0,5.0,1.0,49087.0,33619.0,8679.0,590.0,690.0,620.0,740.0,26.0,32.0,26.0,34.0,26.0,31.0,11518.0,33502.0,32599.0,903.0,10615.0,903.0,120,"Columbus, OH",3409
110705,University of California-Santa Barbara,University of California-Santa Barbara,UCSB  UC Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,93106,www.ucsb.edu/,www.admissions.ucsb.edu/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,22,1.0,0.0,70.0,120.0,68.0,3.0,1.0,1.0,90961.0,33384.0,4847.0,620.0,710.0,610.0,750.0,28.0,34.0,26.0,34.0,26.0,31.0,14406.0,44160.0,41196.0,2964.0,11442.0,2964.0,146,"Santa Barbara, CA",7907
195030,University of Rochester,University of Rochester,,Wilson Blvd. - Wallis Hall,Rochester,NY,14627-0011,https://www.rochester.edu/,https://enrollment.rochester.edu/,https://enrollment.rochester.edu/apply/,1,2,1,1,1,12,1.0,1.0,50.0,50.0,78.0,1.0,5.0,1.0,19607.0,6947.0,1363.0,650.0,720.0,680.0,790.0,30.0,34.0,31.0,35.0,28.0,34.0,58241.0,58241.0,57188.0,1053.0,57188.0,1053.0,154,"Rochester, NY",3474
171100,Michigan State University,Michigan State University,MSU|Spartans|MI State University|State|MI State U,,East Lansing,MI,48824-1046,https://www.msu.edu/,https://admissions.msu.edu/,https://admissions.msu.edu/apply/default.aspx,1,1,1,1,1,13,1.0,1.0,65.0,65.0,53.0,2.0,1.0,1.0,45426.0,34663.0,8389.0,550.0,640.0,550.0,660.0,23.0,29.0,22.0,30.0,22.0,28.0,14460.0,39766.0,39766.0,0.0,14460.0,0.0,157,"East Lansing, MI",11196
163286,University of Maryland-College Park,University of Maryland-College Park,,,College Park,MD,20742,www.umd.edu/,www.admissions.umd.edu/,www.admissions.umd.edu/apply/,1,1,1,1,1,21,1.0,1.0,75.0,75.0,70.0,2.0,1.0,1.0,32147.0,16382.0,4347.0,630.0,720.0,640.0,760.0,30.0,34.0,30.0,35.0,27.0,33.0,10779.0,36891.0,34936.0,1955.0,8824.0,1955.0,158,"College Park, MD",10859
139658,Emory University,Emory University,,201 Dowman Drive,Atlanta,GA,30322,www.emory.edu/,https://apply.emory.edu/,https://apply.emory.edu/apply/first-year/how-to-apply.html,1,2,1,1,1,11,1.0,0.0,75.0,75.0,83.0,1.0,1.0,2.0,28211.0,5407.0,1344.0,680.0,740.0,700.0,790.0,31.0,34.0,,,,,53868.0,53868.0,53070.0,798.0,53070.0,798.0,160,"Atlanta, GA",3391
201645,Case Western Reserve University,Case Western Reserve University,CWRU|Case|Case Western Reserve,10900 Euclid Ave,Cleveland,OH,44106,www.case.edu/,admission.case.edu/,admission.case.edu/apply/,1,2,1,1,1,11,1.0,1.0,70.0,50.0,65.0,1.0,5.0,1.0,29084.0,8804.0,1305.0,640.0,730.0,700.0,790.0,31.0,34.0,29.0,34.0,31.0,34.0,52948.0,52948.0,52448.0,500.0,52448.0,500.0,161,"Cleveland, OH",3407
215293,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus,,4200 Fifth Avenue,Pittsburgh,PA,15260,www.pitt.edu/,admissions.pitt.edu/,pitt.mycollegeapplication.org/Login.aspx,1,1,1,1,1,11,1.0,1.0,55.0,75.0,65.0,5.0,5.0,1.0,32549.0,20791.0,4230.0,623.0,700.0,620.0,720.0,28.0,32.0,26.0,34.0,26.0,31.0,19679.0,33706.0,32656.0,1050.0,18629.0,1050.0,163,"Pittsburgh, PA",3467
483036,Texas A&M University-Central Texas,Texas A&M University-Central Texas,A&M-Central Texas,1001 Leadership Place,Killeen,TX,76549,tamuct.edu/,www.tamuct.edu/admissions.html,https://www.applytexas.org/adappc/gen/c_start.WBX,1,1,1,1,1,41,1.0,1.0,30.0,45.0,,3.0,3.0,1.0,53.0,49.0,37.0,,,,,,,,,,,6483.0,16299.0,15529.0,770.0,5713.0,770.0,168,"Killeen, TX",9039
134130,University of Florida,University of Florida,,Tigert Hall,Gainesville,FL,32611,www.ufl.edu/,www.admissions.ufl.edu/,https://admissions.ufl.edu/apply/freshman,1,1,1,1,1,12,1.0,1.0,30.0,30.0,68.0,3.0,1.0,3.0,48193.0,15002.0,6333.0,650.0,720.0,640.0,740.0,29.0,33.0,28.0,35.0,26.0,31.0,6381.0,28659.0,25694.0,2965.0,4477.0,1904.0,173,"Gainesville, FL",9782
174066,University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,,100 Church Street SE,Minneapolis,MN,55455-0213,https://twin-cities.umn.edu/,https://admissions.tc.umn.edu/,https://admissions.tc.umn.edu/apply/index.html,1,1,1,1,1,11,1.0,1.0,55.0,75.0,65.0,3.0,1.0,1.0,38237.0,26628.0,5966.0,600.0,700.0,640.0,760.0,25.0,31.0,24.0,32.0,25.0,30.0,15027.0,33325.0,31616.0,1709.0,13318.0,1709.0,186,"Minneapolis, MN",3450
182670,Dartmouth College,Dartmouth College,Dartmouth  Big Green,207 Parkhurst Hall,Hanover,NH,03755-3529,www.dartmouth.edu/,admissions.dartmouth.edu/,admissions.dartmouth.edu/apply/apply-dartmouth,1,2,1,1,1,33,1.0,0.0,80.0,50.0,86.0,1.0,1.0,1.0,21392.0,1972.0,1057.0,710.0,770.0,730.0,790.0,32.0,35.0,33.0,36.0,30.0,35.0,60117.0,60117.0,57796.0,2321.0,57796.0,2321.0,191,"Hanover, NH",8441
